ID_Usuario,Anime_Favorito,Estudio,Genero,Anio_Lanzamiento,Temporadas,Nivel_Satisfaccion,Frecuencia_Visualizacion,Calidad_Video,Tipo_Suscripcion,Edad_Usuario,Episodios_Vistos,Animes_Vistos_Anio,Horas_Semanal_Anime,Peliculas_Anime_Vistas,Merchandising_Comprado,Gasto_Mensual_USD,Puntuacion_Anime,Tiempo_Total_Horas,Velocidad_Reproduccion
23001,Konosuba,  Studio Deen,Isekai ,2016,2,insatisfecho,DIARIA,720p,gratis,41,51.0,22,11.0,8,6,16.06,7.0,103.0,1.0
23002,Naruto,PIERROT, Shonen ,2002,9, insatisfecho , ocasional , 1080p ,ESTUDIANTE,27,58.0,12,8.0,7,1,31.5,,431.8,1.25
23003,Fullmetal Alchemist, Bones , Shonen ,2003,2,muy insatisfecho, mensual ,1080p,GRATIS,20,43.0,18,9.0,5,2,7.9,7.4,451.8,1.0
23004, Death Note ,Madhouse ,Shonen,2006,1, satisfecho ,ocasional,480p, estudiante ,33,52.0,11,9.0,4,4,5.65,8.5,479.8,1.5
23005,COWBOY BEBOP,Sunrise ,CIENCIA FICCIÓN,1998,1, insatisfecho ,MENSUAL,4K,Premium,31,,15,12.0,6,2,9.42,9.2,75.3,1.0
23006,That Time I Got Reincarnated as a Slime,8bit,ISEKAI,2018,2, insatisfecho ,MENSUAL,1080p,Gratis,35,42.0,13,5.0,8,1,6.91,6.2,234.9,1.0
23007,slam dunk, Toei Animation , Deportes ,1993,5,INSATISFECHO, Diaria , 480p ,estudiante,23,48.0,18,8.0,4,4,6.05,5.1,63.4,1.5
23008,one piece,Toei Animation , Shonen ,1999,20,Muy Satisfecho,semanal,720p,Gratis,23,,12,7.0,3,4,13.83,5.4,42.3,1.25
23009,monster,madhouse,Seinen ,2004,1,MUY SATISFECHO,MENSUAL,1080P,gratis,36,60.0,21,9.0,2,1,59.61,6.5,40.8,1.5
23010,naruto ,PIERROT,  Shonen,2002,9,neutral,ocasional,480p,premium,48,,15,12.0,3,4,17.68,,83.7,1.0
23011, Demon Slayer ,ufotable,  Shonen,2019,3, satisfecho , ocasional ,480P,estudiante,36,51.0,14,5.0,9,3,5.2,6.0,112.4,1.5
23012,ouran high school host club,  Bones,Shojo ,2006,1,Insatisfecho,mensual,4k,Estudiante,15,44.0,12,10.0,5,1,2.0,4.9,355.5,1.0
23013, Naruto , Pierrot ,Shonen ,2002,9, satisfecho ,Ocasional,720p, Premium ,34,53.0,13,11.0,4,2,29.78,6.6,25.5,1.5
23014,demon slayer,ufotable,shonen,2019,3,neutral,diaria,720P,PREMIUM,14,47.0,13,10.0,7,1,12.06,7.9,265.5,2.0
23015,KONOSUBA,Studio Deen , Isekai ,2016,2,MUY INSATISFECHO,OCASIONAL,720p,ESTUDIANTE,36,,13,6.0,8,2,43.13,8.7,151.6,2.0
23016, Cardcaptor Sakura ,Madhouse ,shojo,1998,3, Neutral,DIARIA, 480p , gratis ,42,38.0,21,7.0,4,2,5000.0,6.4,67.9,1.5
