ID_Lector,Autor_Filosofico,Epoca_Filosofica,Nacionalidad_Autor,Nivel_Comprension,Dificultad_Percibida,Edad,Libros_Leidos_Autor,Citas_Memorizadas,Horas_Estudio,Puntuacion_Evaluacion,Anos_Experiencia
3001,Rousseau,  Moderna,  Francesa,Medio, Media,54,5,6,1.8,70.6,3.9
3002,platon, Antigua ,Griega,alto ,MEDIA,44,2,8,,56.9,0.3
3003,epicteto,  Antigua,Griega, Muy Bajo ,muy dificil,30,0,4,5.6,55.3,4.6
3004, Marco Aurelio ,  Antigua,romana,MUY BAJO,muy dificil,58,2,5,1.8,74.2,1.1
3005,sartre ,contemporánea,francesa,Alto,Difícil,23,3,5,0.1,53.0,5.0
3006, Nietzsche,Contemporánea ,Alemana,alto ,DIFÍCIL,36,5,2,8.2,28.2,6.9
3007,lao tse,Antigua ,China ,MUY BAJO,MEDIA,54,5,6,7.5,52.0,6.5
3008,aristóteles ,ANTIGUA,griega,MUY ALTO,FÁCIL,34,3,4,12.7,62.5,3.2
3009,Guillermo de Ockham, Medieval ,francesa,muy bajo,fácil ,38,2,3,22.1,95.4,2.9
3010,platon,Antigua ,griega,Bajo,MUY DIFÍCIL,26,3,5,0.8,59.2,0.6
3011, Marco Aurelio ,Antigua, Romana ,Bajo,Difícil,26,3,6,13.1,77.2,6.0
3012,Kant,MODERNA,  Alemana,MUY ALTO,fácil ,39,1,3,2.1,65.0,1.3
3013, Platón ,ANTIGUA,Griega,medio,dificil,51,6,4,500.0,90.1,2.7
3014,SENECA,antigua,Romana ,MUY BAJO,muy facil,55,1,8,17.1,88.8,1.3
3015, Rousseau , Moderna ,francesa,bajo ,MEDIA,39,5,4,7.8,89.2,0.6
3016,HEGEL,Moderna , Alemana , Muy Bajo ,difícil ,18,4,10,12.4,36.8,4.0
3017, Marco Aurelio ,Antigua ,  Romana,muy alto,Difícil,37,3,4,3.8,71.7,0.2
3018,hume ,  Moderna,FRANCESA,alto,Difícil,17,2,5,6.4,81.7,5.5
3019,heidegger,CONTEMPORÁNEA,ALEMANA,Muy Alto ,Fácil,39,3,10,17.2,74.9,1.5
3020,platon, Antigua ,griega,Muy Alto ,difícil ,59,2,3,6.1,79.5,0.0
3021,HEIDEGGER, Contemporánea ,Alemana ,Muy Alto ,muy facil,45,6,4,4.4,69.1,2.9
3022,sartre, Contemporánea ,Francesa ,bajo ,Fácil,53,2,7,6.8,54.6,0.2
3023,San Agustín,  Medieval,  Romana,Muy Alto,Muy Difícil,17,6,5,17.6,37.5,1.3
3024,Heráclito,antigua,  Griega,Alto,MUY DIFÍCIL,36,3,10,4.1,56.4,4.9
3025,MENCIO,Antigua ,China,ALTO,MEDIA,48,0,4,,116.2,0.3
3026,San Agustín, Medieval ,romana,ALTO, Muy Fácil ,27,5,2,12.4,-10.0,
3027,Sócrates,  Antigua,GRIEGA,medio,DIFÍCIL,37,0,3,17.5,32.7,0.0
3028,Socrates,antigua,Griega,MUY ALTO, Muy Fácil ,59,6,5,1.1,81.2,1.1
