ID_Jugador,Nombre_Jugador,Equipo,Liga,Pais_Origen,Posicion,Nivel_Rendimiento,Estado_Fisico,Valoracion_Tecnica,Edad_Jugador,Goles_Temporada,Asistencias_Temporada,Partidos_Jugados,Tarjetas_Amarillas,Tarjetas_Rojas,Valor_Mercado_Millones,Salario_Semanal_Miles,Minutos_Jugados,Distancia_Recorrida_Km,Precision_Pases_Porcentaje
8001, Jan Oblak ,Atletico Madrid,La Liga ,Eslovenia ,PORTERO,BUENO,regular,3-4,38,17,9,10,1,0,12.58,21.75,1941.0,192.9,77.7
8002,khvicha kvaratskhelia,napoli,SERIE A,GEORGIA,  Delantero, Excelente , lesionado ,3-4,21,9,5,32,4,1,19.74,169.06,1877.0,154.7,92.7
8003,LIONEL MESSI,PSG,ligue 1,argentina,delantero,BAJO, bueno ,1-2,35,12,9,24,6,1,5.4,29.17,1939.0,206.3,84.3
8004,Virgil van Dijk,  Liverpool,Premier League,  Paises Bajos, Defensa , bajo ,optimo, 9-10 ,31,7,7,11,2,0,39.74,114.11,1801.0,208.7,103.0
8005,ROBERT LEWANDOWSKI,Barcelona ,la liga,POLONIA,delantero,Excelente,BUENO,9-10,21,12,9,34,2,0,10.08,39.87,2856.0,191.5,63.4
8006,kevin de bruyne, Manchester City ,Premier League,Belgica ,  Mediocampista,BUENO, Optimo , 1-2 ,18,12,6,27,2,0,14.8,64.27,2297.0,207.6,89.4
8007, Bruno Fernandes ,MANCHESTER UNITED,Premier League ,Portugal ,Mediocampista,BUENO,Bueno,1-2,38,16,8,20,3,0,8.01,,,203.0,75.3
8008, Erling Haaland ,Manchester City ,Premier League,noruega,Delantero, Excelente , Optimo ,9-10,21,7,7,23,5,0,1.35,22.99,2217.0,165.6,92.6
8009,VIRGIL VAN DIJK, Liverpool ,PREMIER LEAGUE,Paises Bajos,Defensa,BAJO,Lesionado,7-8,33,5,6,35,5,0,0.37,314.44,,257.9,76.5
8010,Nicolo Barella,Inter Milan,Serie A ,  Italia,MEDIOCAMPISTA,Regular, regular ,7-8,28,11,7,13,1,0,29.93,163.12,1978.0,177.7,98.2
8011,GIANLUIGI DONNARUMMA,PSG ,LIGUE 1,ITALIA, Portero ,Bajo,Bueno, 9-10 ,21,12,13,17,1,0,24.83,104.27,1550.0,261.3,
8012, Marco Reus ,borussia dortmund,Bundesliga,Alemania,  Mediocampista,regular,Optimo, 5-6 ,25,13,4,28,3,1,,141.21,,206.4,83.9
8013,Karim Benzema,Real Madrid , La Liga ,  Francia,Delantero,excelente, lesionado ,9-10,21,14,2,24,7,0,0.2,36.08,1811.0,187.8,60.2
8014,Jan Oblak, Atletico Madrid ,  La Liga,ESLOVENIA,PORTERO,excelente, lesionado , 7-8 ,21,3,5,22,1,0,24.54,14.17,2561.0,178.6,79.9
8015,leroy sane,BAYERN MUNICH, Bundesliga ,alemania,Delantero ,Regular,OPTIMO,5-6,24,12,7,23,3,0,17.79,220.0,2181.0,214.3,79.7
8016,LUKA MODRIC,Real Madrid, La Liga ,  Croacia, Mediocampista ,EXCELENTE,Regular,1-2,31,12,6,12,0,0,500.0,144.52,1805.0,188.0,82.4
8017,Mohamed Salah,  Liverpool,Premier League ,EGIPTO,Delantero,bueno,BUENO, 9-10 ,39,8,10,26,3,0,52.97,305.23,1925.0,215.3,101.0
8018,neymar jr,PSG , Ligue 1 ,Brasil,  Delantero,excelente, Optimo ,1-2,22,13,6,39,2,2,19.02,22.05,2158.0,216.4,79.9
8019,thomas muller, Bayern Munich , Bundesliga ,  Alemania,  Delantero,Regular,Optimo,7-8,39,16,10,13,3,1,12.02,198.99,1294.0,166.0,62.9
8020,BRUNO FERNANDES,Manchester United,Premier League ,Portugal ,Mediocampista ,regular, bueno ,9-10,19,10,5,20,4,0,5.01,160.79,1671.0,174.4,87.5
8021,  Erling Haaland  ,LIVERPOOL,Premier League ,Egipto , Delantero ,bajo,BUENO,3-4,32,7,9,37,2,0,3.51,503.52,2356.0,247.7,65.3
8022, Harry Kane ,tottenham,Premier League ,INGLATERRA, Delantero , bajo , Optimo ,5-6,25,14,5,14,3,0,11.52,9.89,1464.0,264.5,64.4
8023, Wissam Ben Yedder ,Monaco , Ligue 1 ,Francia,delantero,bajo, bueno ,3-4,22,16,5,14,3,0,77.04,13.52,2217.0,295.8,72.7
8024,Bruno Fernandes, Manchester United ,PREMIER LEAGUE,Portugal,Mediocampista, Excelente ,regular,7-8,39,14,10,27,2,0,43.44,342.05,1202.0,249.4,87.3
8025,Thomas Muller,  Bayern Munich,  Bundesliga, Alemania ,DELANTERO,bueno,lesionado,9-10,37,9,6,11,1,0,5.78,32.39,1655.0,191.0,73.7
8026,KYLIAN MBAPPE,Monaco,Ligue 1 ,FRANCIA,delantero,regular,OPTIMO,1-2,18,17,9,16,0,0,66.39,91.05,1152.0,219.2,57.9
8027,kevin de bruyne,  Manchester City,Premier League ,Belgica,Mediocampista, Regular,Lesionado,3-4,28,11,7,22,4,0,8.45,84.22,1641.0,220.1,81.4
8028,jan oblak,ATLETICO MADRID, La Liga ,Eslovenia ,PORTERO,Regular,lesionado,7-8,22,12,7,34,4,0,0.41,223.02,2193.0,170.1,85.0
8029,RAFAEL LEAO,AC Milan,Serie A,PORTUGAL,  Delantero,bueno,bueno,7-8,27,8,6,21,2,0,8.77,160.56,2756.0,204.3,78.4
8030,Alexandre Lacazette,Lyon , Ligue 1 ,francia,Delantero ,EXCELENTE,BUENO,3-4,36,14,10,16,2,0,22.12,98.09,1509.0,216.5,78.8
8031,RODRI,Manchester City,Premier League, España , Mediocampista ,regular,optimo,5-6,26,13,9,25,5,1,-50.0,285.0,1607.0,240.7,82.8
8032,jude bellingham,borussia dortmund, Bundesliga ,Inglaterra ,MEDIOCAMPISTA,bajo, lesionado ,9-10,26,17,6,12,4,0,,5.35,1817.0,243.9,75.0
8033,Vinicius Junior,Real Madrid , La Liga ,Brasil, Delantero ,BAJO,REGULAR,9-10,28,13,11,30,2,2,11.22,,1573.0,319.2,93.9
8034, Kevin De Bruyne ,Manchester City,  Premier League, Belgica ,Mediocampista,Bueno, Optimo , 1-2 ,36,12,7,11,1,0,72.93,13.81,3169.0,271.1,73.8
8035,Leroy Sane,Bayern Munich, Bundesliga , Alemania ,Delantero ,bueno ,OPTIMO,7-8,34,20,8,39,2,0,69.54,5.76,2533.0,192.5,68.8
8036,Kylian Mbappe,  PSG,  Ligue 1,Francia , Delantero ,bueno ,Lesionado,5-6,37,12,9,28,2,0,3.96,29.79,1229.0,163.1,63.6
8037,LAUTARO MARTINEZ,Inter Milan, Serie A ,argentina,Delantero,bueno,Lesionado,3-4,38,15,4,13,3,0,2.12,4.48,2387.0,274.7,85.3
8038, Kevin De Bruyne ,Manchester City, Premier League ,BELGICA,Mediocampista,excelente,BUENO, 1-2 ,26,7,7,19,2,0,49.54,53.15,1702.0,226.9,73.7
8039,Marco Reus,borussia dortmund, Bundesliga ,ALEMANIA,Mediocampista, Regular,regular, 7-8 ,37,16,11,27,1,2,61.6,150.33,1646.0,264.5,98.2
8040,joshua kimmich,bayern munich, Bundesliga ,alemania, Mediocampista , Regular,Lesionado,1-2,36,13,7,14,4,1,13.2,618.98,1041.0,187.3,61.4
8041, Jamal Musiala ,Manchester City   ,bundesliga, Alemania , Mediocampista ,Bueno,Optimo,1-2,36,10,11,24,2,0,82.79,7.05,3166.0,251.1,75.4
8042,LUKA MODRIC,REAL MADRID,  La Liga,Croacia ,Mediocampista ,Bajo,Lesionado, 3-4 ,19,12,7,13,1,1,18.46,127.39,1450.0,201.3,74.4
8043,Neymar Jr,  PSG,  Ligue 1,  Brasil,Delantero , Excelente , bueno ,7-8,30,5,7,21,3,0,81.85,60.98,1329.0,220.0,
8044,thomas muller,Bayern Munich, Bundesliga ,Alemania,delantero,Bueno,bueno,7-8,20,10,8,25,4,1,25.38,17.5,2520.0,237.0,74.7
8045,Mike Maignan, AC Milan ,  Serie A,Francia ,PORTERO,EXCELENTE,LESIONADO,7-8,29,8,9,36,3,0,1.74,8.97,1487.0,191.7,73.3
