ID_Jugador,Nombre_Jugador,Epoca,Equipo_Principal,Nacionalidad,Posicion,Anio_Nacimiento,Legado_Futbolistico,Balon_de_Oro,Copa_Mundo,Impacto_Historico,Partidos_Jugados_Carrera,Goles_Carrera,Asistencias_Carrera,Titulos_Ganados,Balones_Oro_Ganados,Copas_Mundo_Ganadas,Valor_Historico_Millones,Ingreso_Carrera_Millones,Puntuacion_Legado,Promedio_Goles_Partido,Anos_Carrera_Profesional,Popularidad_Indice
19001.0,Neymar Jr,2010s-2020s, PSG ,BRASIL,DELANTERO,1992.0,RECONOCIDO, Ganador ,Campeon,MEDIO,302.0,193.0,91.0,9.0,1.0,0.0,22.49,,87.2,0.2,15.8,
19002.0,Garrincha,1950s-1960s ,Botafogo,Brasil , Delantero ,1933.0,Leyenda,nominado,CAMPEON, Muy Alto ,635.0,193.0,103.0,3.0,2.0,0.0,20.36,54.53,75.8,0.27,15.2,85.4
19003.0,Ronaldo Nazario,1990S-2000S,real madrid,Brasil,Delantero,1976.0,Icono,GANADOR,NO CLASIFICO,Bajo,470.0,209.0,98.0,12.0,1.0,0.0,1.33,140.94,74.4,0.76,17.7,105.4
19004.0, Diego Maradona ,1980s-1990s, Napoli ,Argentina , Mediocampista ,1960.0,reconocido,sin nominacion,subcampeon,medio,306.0,189.0,95.0,11.0,2.0,0.0,1.22,32.66,90.1,0.31,12.1,65.1
19005.0,SERGIO RAMOS,2000s-2020s, Real Madrid ,españa,  Defensa,1986.0,Icono,Ganador,PARTICIPANTE,Medio,271.0,191.0,109.0,9.0,2.0,0.0,89.1,15.27,72.5,0.45,15.1,69.1
19006.0,Kevin De Bruyne,2010s-2020s ,Manchester City ,Belgica,MEDIOCAMPISTA,1991.0,LEYENDA,Nominado, participante ,Alto,220.0,200.0,104.0,9.0,0.0,1.0,15.95,,51.9,0.71,17.9,64.4
19007.0,mario kempes, 1970s-1980s ,  Valencia,argentina,  Delantero,1954.0, reconocido ,GANADOR,No Clasifico,MEDIO,814.0,190.0,122.0,8.0,1.0,0.0,36.5,139.89,71.7,,14.6,64.9
19008.0,lev yashin,1950S-1960S,Dynamo Moscow,  Union Sovietica, Portero ,1929.0,Notable,GANADOR,Participante,MUY ALTO,321.0,189.0,118.0,10.0,2.0,0.0,17.74,8.49,80.4,0.69,8.8,41.6
19009.0,lionel messi,  2000s-2020s,Barcelona , Argentina ,DELANTERO,1987.0,NOTABLE,Sin Nominacion,Subcampeon,Alto,666.0,189.0,92.0,16.0,1.0,0.0,141.24,21.94,107.8,0.04,10.2,48.4
19010.0, Garrincha ,1950S-1960S, Botafogo , Brasil ,Delantero ,1933.0,Reconocido,Nominado,participante, medio ,414.0,211.0,95.0,7.0,0.0,1.0,15.01,12.25,77.6,0.46,19.2,76.5
19011.0,diego maradona, 1980s-1990s , Napoli ,Argentina ,Mediocampista ,1960.0,LEYENDA,GANADOR,Subcampeón,medio,530.0,210.0,92.0,8.0,0.0,1.0,28.08,34.21,92.7,0.52,22.0,105.3
19012.0, Thierry Henry ,1990s-2010s ,Arsenal,francia, Delantero ,1977.0,NOTABLE,ganador,Participante,Bajo,658.0,205.0,87.0,11.0,0.0,0.0,103.07,47.88,82.5,0.51,20.9,62.7
19013.0,garrincha,1950s-1960s ,BOTAFOGO,  Brasil, Delantero ,1933.0,Reconocido,SIN NOMINACION,No Clasificó,Alto,287.0,201.0,88.0,13.0,0.0,0.0,92.24,110.53,103.4,0.0,16.2,62.1
19014.0,ZICO,1970s-1980s,FLAMENGO, Brasil ,Mediocampista,1953.0,NOTABLE,Ganador,CAMPEON,MUY ALTO,572.0,216.0,104.0,10.0,0.0,0.0,10.3,84.25,102.4,0.86,9.0,109.0
19015.0, Kylian Mbappe , 2010s-2020s , PSG ,  Francia,Delantero ,1998.0, reconocido ,GANADOR,campeon,medio,299.0,186.0,95.0,9.0,1.0,0.0,81.14,77.6,102.6,0.24,15.0,52.8
19016.0,andrea pirlo,2000s-2010s , AC Milan ,  Italia,Mediocampista,1979.0,leyenda,Ganador,Campeón,Bajo,863.0,204.0,99.0,12.0,0.0,1.0,2000.0,34.76,59.0,0.6,22.8,41.8
19017.0,Diego Maradona,1980s-1990s,Napoli , Argentina , Mediocampista ,1960.0,LEYENDA,nominado,Subcampeon,MEDIO,330.0,188.0,89.0,11.0,0.0,0.0,32.98,147.33,88.1,0.5,18.1,58.4
19018.0, Andres Iniesta ,2000S-2010S,  Barcelona, España ,  Mediocampista,1984.0, Icono , Ganador ,campeon,Alto,861.0,185.0,75.0,9.0,0.0,0.0,7.16,50.98,96.4,,14.0,61.7
19019.0,Antoine Griezmann,2010s-2020s,  Atletico Madrid,Francia,DELANTERO,1991.0,notable,sin nominacion,CAMPEON,MUY ALTO,508.0,195.0,93.0,10.0,0.0,0.0,4.2,309.46,90.7,1.16,18.1,40.1
19020.0,Pele,  1950s-1960s,Santos ,Brasil,Delantero ,1940.0, Icono ,nominado, Subcampeon ,bajo,543.0,182.0,84.0,11.0,0.0,0.0,65.09,80.44,94.5,0.11,8.7,72.4
19021.0,  Lionel Messi  , 2010s-2020s ,Tottenham ,INGLATERRA,DELANTERO,1993.0,LEYENDA,Ganador,No Clasifico, medio ,691.0,180.0,99.0,14.0,0.0,2.0,34.3,10.8,85.9,0.31,11.5,
19022.0,Robert Lewandowski,2010s-2020s,bayern munich,polonia,Delantero,1988.0,reconocido,GANADOR, participante ,Muy Alto,613.0,219.0,96.0,10.0,1.0,0.0,28.71,90.2,73.8,0.56,9.6,49.3
19023.0,rivaldo,1990s-2000s , Barcelona , Brasil ,Delantero,1972.0, Leyenda ,Nominado,no clasifico, medio ,585.0,207.0,106.0,16.0,0.0,0.0,65.38,31.46,,0.17,17.3,76.8
19024.0,johan cruyff,1970s-1980s ,ajax,  Paises Bajos,delantero,1947.0, Leyenda ,Ganador,No Clasifico,medio,391.0,202.0,110.0,10.0,0.0,0.0,,92.75,75.3,0.73,18.6,82.9
19025.0, Bebeto ,  1980s-1990s,DEPORTIVO LA CORUÑA,brasil,  Delantero,1964.0,RECONOCIDO,GANADOR, participante ,alto,476.0,189.0,83.0,14.0,1.0,1.0,8.65,5.77,125.2,0.75,14.2,73.3
19026.0,CRISTIANO RONALDO,  1990s-2000s, Barcelona ,BRASIL,Delantero ,1972.0,icono, Sin Nominacion , Subcampeon ,ALTO,360.0,221.0,117.0,13.0,0.0,0.0,47.11,15.38,77.7,0.67,10.6,78.7
19027.0, Bobby Charlton ,  1950s-1960s, Manchester United ,  Inglaterra,Mediocampista ,1937.0,notable,NOMINADO,subcampeon,MEDIO,659.0,205.0,93.0,11.0,0.0,0.0,,154.89,55.6,0.57,14.9,78.9
19028.0,bobby charlton,  1950s-1960s,Manchester United,Inglaterra ,Mediocampista,1937.0,Leyenda,Sin Nominacion,NO CLASIFICO, bajo ,513.0,194.0,108.0,6.0,0.0,0.0,69.59,20.62,96.0,0.91,12.6,58.7
19029.0, Luis Suarez ,  2010s-2020s, Barcelona ,URUGUAY,  Delantero,1987.0,leyenda,ganador, Campeon ,ALTO,221.0,221.0,91.0,12.0,0.0,0.0,53.49,145.14,,,11.0,105.0
19030.0,Iker Casillas,2000s-2010s,REAL MADRID, España ,PORTERO,1981.0,NOTABLE, Sin Nominacion ,participante, alto ,452.0,212.0,99.0,12.0,0.0,0.0,156.88,26.2,104.3,0.52,16.7,100.0
19031.0,antoine griezmann,2010S-2020S,  Atletico Madrid,Francia ,Delantero ,1991.0,leyenda,ganador, participante ,Alto,760.0,176.0,96.0,8.0,0.0,0.0,-100.0,82.38,92.1,0.28,11.2,98.8
19032.0, Sergio Ramos , 2000s-2020s ,  Real Madrid,España ,Defensa,1986.0,notable, nominado , Campeon ,Alto,674.0,221.0,108.0,13.0,0.0,0.0,2.94,94.77,97.7,0.77,7.2,95.3
19033.0,Frank Lampard,2000s-2010s, Chelsea ,INGLATERRA,mediocampista,1978.0, notable , nominado ,Subcampeón,MUY ALTO,258.0,207.0,92.0,11.0,1.0,0.0,16.58,57.5,,-0.05,8.3,43.5
19034.0, Claudio Caniggia ,  1980s-1990s,  Atalanta, Argentina , Delantero ,1967.0, notable ,nominado,No Clasificó,medio,710.0,184.0,115.0,8.0,1.0,1.0,15.17,29.14,73.8,0.49,7.0,93.5
19035.0,OLIVER KAHN,1990S-2000S,bayern munich,  Alemania,Portero ,1969.0,reconocido,Sin Nominacion,no clasifico, Muy Alto ,881.0,208.0,101.0,9.0,1.0,2.0,14.18,19.13,,0.6,16.2,88.1
