ID_Jugador,Videojuego,Desarrolladora,Plataforma,Genero,Anio_Lanzamiento,Nivel_Satisfaccion,Dificultad_Juego,Frecuencia_Juego,Tipo_Jugador,Plataforma_Preferida,Edad_Jugador,Juegos_Comprados_Anio,Horas_Juego_Semanal,Logros_Desbloqueados,Amigos_Plataforma,Partidas_Jugadas_Total,Precio_Juego_USD,Gasto_Mensual_USD,Puntuacion_Metacritic,Tiempo_Juego_Total_Horas,Tasa_Victoria_Porcentaje,FPS_Promedio
16001,Gran Turismo,Polyphony Digital ,PlayStation ,DEPORTES,1997,INSATISFECHO, fácil ,SEMANAL,PROFESIONAL,XBOX,50,4,21,54,100,465,8.38,244.43,54.8,85.7,63.1,60.0
16002,the legend of zelda,  Nintendo,  Switch,Accion/Aventura ,2017,muy insatisfecho,muy dificil,Ocasional, intermedio , Multiplataforma ,40,9,22,35,101,523,61.12,,85.2,2.2,50.1,65.0
16003,overwatch,  Blizzard, Multiplataforma ,Shooter ,2016, insatisfecho ,Fácil,ocasional, intermedio ,nintendo,26,13,18,54,105,492,50.22,39.91,69.1,290.3,41.2,32.0
16004, Halo ,Bungie , Xbox ,Shooter,2001, Neutral,Difícil,OCASIONAL,hardcore, pc ,54,10,15,53,107,489,36.01,154.05,68.7,,71.2,56.0
16005, Age of Empires ,MICROSOFT,  PC,Estrategia ,1997,NEUTRAL,DIFÍCIL,MENSUAL, profesional ,XBOX,19,14,17,47,91,538,90.43,118.66,74.2,68.5,54.0,50.0
16006, Civilization ,Firaxis,pc,  Estrategia,1991,muy insatisfecho, media ,semanal,INTERMEDIO, PlayStation ,32,7,18,57,95,534,35.01,29.69,71.4,270.5,63.0,47.0
16007,stardew valley,concernedape,Multiplataforma,Indie,2016,muy insatisfecho,muy dificil, mensual , hardcore ,Xbox,50,13,17,57,88,488,25.17,21.12,69.5,57.8,53.1,40.0
16008, Uncharted 4 ,  Naughty Dog,PlayStation ,accion/aventura,2016,Insatisfecho,dificil,mensual,PROFESIONAL,PLAYSTATION,30,9,9,49,125,523,16.64,49.03,55.8,393.4,40.3,79.0
16009,Skyrim,BETHESDA,  Multiplataforma,  RPG,2011,INSATISFECHO,MUY DIFÍCIL,MENSUAL,PROFESIONAL,PC,34,12,22,50,119,502,112.84,121.62,73.3,71.8,82.2,47.0
16010,the legend of zelda,nintendo,  Switch,accion/aventura,2017,NEUTRAL,Fácil,DIARIA,hardcore,xbox,22,10,16,46,99,468,3.45,257.85,85.5,12.1,57.1,20.0
16011, Halo ,bungie,xbox,SHOOTER,2001,SATISFECHO,dificil,diaria,Profesional,PC,22,7,14,56,103,515,106.88,115.37,79.0,144.7,42.9,65.0
16012,Dark Souls,fromsoftware,Multiplataforma,  RPG,2011, satisfecho , Muy Fácil ,Semanal,profesional,PLAYSTATION,35,18,15,41,115,535,70.11,154.6,89.2,113.6,75.6,75.0
16013, The Legend of Zelda ,Nintendo,  Switch,Accion/Aventura,2017,MUY INSATISFECHO, difícil ,semanal,intermedio,NINTENDO,47,14,17,69,111,478,5.57,73.92,64.1,148.3,23.6,44.0
16014,CALL OF DUTY,Activision,MULTIPLATAFORMA,shooter,2003,Insatisfecho, Muy Difícil ,diaria,INTERMEDIO, Nintendo ,51,8,10,56,86,496,33.29,144.34,55.8,302.5,94.7,49.0
16015, Civilization ,firaxis,  PC,estrategia,1991, satisfecho ,dificil,DIARIA,Intermedio,PLAYSTATION,35,9,9,46,100,516,,122.75,71.3,,46.4,47.0
16016,FIFA, EA Sports ,Multiplataforma ,deportes,1993,insatisfecho,Media,Mensual,Hardcore,multiplataforma,14,13,16,55,83,526,5000.0,37.85,65.8,94.5,24.6,53.0
16017, Halo ,Bungie ,Xbox,Shooter ,2001,muy satisfecho,muy facil,OCASIONAL,casual,multiplataforma,33,11,18,43,86,467,95.09,64.24,67.3,194.7,88.1,82.0
16018, NBA 2K ,2K Sports,Multiplataforma ,Deportes,1999,NEUTRAL, media ,ocasional, profesional ,nintendo,13,8,11,55,93,475,,130.68,78.2,111.9,40.7,58.0
16019,among us, InnerSloth ,Multiplataforma,indie,2018, insatisfecho ,FÁCIL, ocasional , hardcore ,nintendo,35,10,22,49,103,461,21.95,3.77,67.5,52.4,54.9,77.0
16020,the legend of zelda, Nintendo ,SWITCH,Accion/Aventura,2017,Insatisfecho,DIFÍCIL,OCASIONAL, Casual ,xbox,41,6,19,42,97,529,18.95,132.05,56.2,216.8,64.4,41.0
16021,  The Legend of Zelda  ,  InnerSloth,Multiplataforma , Indie ,2018,Insatisfecho,DIFÍCIL,ocasional, Casual ,xbox,49,12,11,39,90,491,110.16,15.67,66.6,25.1,73.7,52.0
16022,starcraft,Blizzard , PC , Estrategia ,1998,Satisfecho, fácil ,Mensual,hardcore, Nintendo ,13,8,13,49,99,518,44.97,57.84,80.1,125.4,56.0,79.0
16023,Apex Legends,respawn,  Multiplataforma,  Shooter,2019, insatisfecho , media ,SEMANAL,CASUAL,Multiplataforma,32,10,17,70,103,481,,132.14,85.1,213.3,37.1,44.0
16024,Assassins Creed,  Ubisoft,MULTIPLATAFORMA,Accion/Aventura ,2007,muy satisfecho, Muy Fácil , Diaria ,intermedio, Xbox ,44,7,16,49,98,510,1.73,23.42,84.9,131.4,54.4,80.0
16025,MORTAL KOMBAT,  NetherRealm,Multiplataforma, Lucha ,1992,Satisfecho, media , mensual ,Hardcore, PlayStation ,23,15,14,52,82,493,33.26,22.57,81.4,119.5,41.6,47.0
16026,MINECRAFT, Respawn ,Multiplataforma ,SHOOTER,2019,Muy Insatisfecho,muy dificil,ocasional,PROFESIONAL,XBOX,33,8,13,44,93,481,106.47,41.24,72.5,139.7,55.0,54.0
16027,Uncharted 4, Naughty Dog ,  PlayStation,Accion/Aventura,2016,MUY INSATISFECHO, media , Diaria ,Intermedio,Xbox,36,7,15,44,106,471,74.38,180.03,81.1,62.6,82.6,93.0
16028, Uncharted 4 , Naughty Dog ,PLAYSTATION,accion/aventura,2016,NEUTRAL,muy facil,mensual,profesional, Xbox ,38,11,12,53,104,522,45.06,0.04,74.4,207.3,65.1,51.0
16029,hollow knight,team cherry,Multiplataforma,INDIE,2017, Muy Satisfecho ,Difícil, ocasional ,CASUAL, pc ,53,10,14,52,92,471,5.99,185.32,76.7,22.7,54.1,63.0
16030,NBA 2K,2k sports, Multiplataforma ,  Deportes,1999,INSATISFECHO,Media,mensual, intermedio ,PlayStation,39,14,18,49,89,513,11.73,13.36,60.9,13.6,64.8,72.0
16031,Among Us,  InnerSloth, Multiplataforma ,INDIE,2018, Muy Satisfecho ,FÁCIL,diaria,PROFESIONAL, Nintendo ,27,17,11,48,112,504,-50.0,369.11,75.7,33.6,66.2,65.0
16032,age of empires,  Microsoft,PC,  Estrategia,1997,Muy Insatisfecho, Muy Fácil , semanal , hardcore ,multiplataforma,26,10,15,55,109,502,8.08,247.82,80.7,,28.4,65.0
16033,FIFA,EA Sports, Multiplataforma , Deportes ,1993,INSATISFECHO,DIFÍCIL,Ocasional,Casual,MULTIPLATAFORMA,14,22,18,61,104,497,13.05,54.6,80.1,71.4,50.8,59.0
16034,Super Smash Bros,Nintendo,SWITCH,Lucha,1999,Muy Satisfecho,MUY FÁCIL,diaria,profesional, Nintendo ,48,8,18,55,101,469,5.55,57.51,55.7,171.8,101.3,34.0
16035,the witcher 3, CD Projekt ,  Multiplataforma,  RPG,2015,Satisfecho,FÁCIL,Diaria,casual,PC,18,8,11,39,89,484,45.09,52.55,76.4,51.8,74.3,67.0
16036, FIFA ,ea sports, Multiplataforma ,deportes,1993,insatisfecho, Muy Difícil ,SEMANAL,Profesional,multiplataforma,32,9,15,43,127,504,115.28,80.73,53.3,66.2,39.9,45.0
16037,Hollow Knight,team cherry,  Multiplataforma,INDIE,2017,Satisfecho,Muy Fácil,mensual, hardcore ,Xbox,20,4,9,37,87,524,12.53,7.61,77.6,1.3,37.9,76.0
16038,gran turismo,  Polyphony Digital,playstation,  Deportes,1997,MUY SATISFECHO,muy facil,SEMANAL, intermedio , Multiplataforma ,50,12,13,60,109,481,25.81,2.65,64.5,52.7,37.3,87.0
16039,Stardew Valley,ConcernedApe , Multiplataforma ,Indie ,2016, insatisfecho ,MEDIA,Semanal,Profesional,PLAYSTATION,29,7,16,58,105,506,40.24,4.75,100.6,104.3,67.3,24.0
16040,NBA 2K, 2K Sports ,multiplataforma,  Deportes,1999,Neutral, fácil ,Mensual,CASUAL,PLAYSTATION,15,8,15,43,103,530,301.42,47.01,,1.6,82.2,87.0
16041, StarCraft ,Nintendo   ,  PC,estrategia,1998,NEUTRAL,Fácil,mensual, hardcore ,nintendo,36,6,14,57,111,489,4.43,25.79,87.0,33.0,61.6,
16042,GOD OF WAR,Santa Monica Studio ,PlayStation , Accion/Aventura ,2018, Muy Insatisfecho ,MUY DIFÍCIL,MENSUAL, intermedio ,PC,25,10,16,52,90,502,27.61,77.84,106.7,23.3,53.1,57.0
16043,HALO,bungie,  Xbox,Shooter,2001,Insatisfecho,FÁCIL, Diaria ,Casual, pc ,20,9,16,52,75,486,19.45,390.81,62.7,4.3,41.1,42.0
16044,fortnite,Epic Games,MULTIPLATAFORMA,Shooter ,2017,MUY SATISFECHO,MUY FÁCIL,Diaria,HARDCORE,Multiplataforma,37,11,25,53,93,484,80.34,39.06,81.5,65.3,56.6,64.0
16045,UNCHARTED 4, Naughty Dog ,PlayStation ,accion/aventura,2016,NEUTRAL,muy dificil, ocasional , Casual ,pc,13,7,12,52,100,505,25.85,68.24,57.2,20.1,33.6,61.0
16046,halo,bungie,Xbox ,  Shooter,2001,muy insatisfecho,FÁCIL,ocasional,HARDCORE,pc,31,9,12,53,88,483,4.71,50000.0,80.2,135.9,11.3,82.0
16047,UNCHARTED 4, Naughty Dog , PlayStation ,accion/aventura,2016,Insatisfecho,MUY DIFÍCIL,semanal,Intermedio,MULTIPLATAFORMA,39,14,21,52,113,499,40.25,150.33,101.5,188.3,82.7,45.0
16048, Overwatch ,  Blizzard, Multiplataforma ,SHOOTER,2016,NEUTRAL,FÁCIL,Semanal,Intermedio,PLAYSTATION,18,11,9,50,104,502,58.92,186.02,65.6,78.9,29.9,93.0
16049,gran turismo,Polyphony Digital , PlayStation ,deportes,1997, insatisfecho , fácil ,Ocasional,casual,Xbox,19,12,18,42,103,529,0.12,167.88,61.7,400.1,43.5,73.0
16050,THE WITCHER 3,CD Projekt ,  Multiplataforma,RPG,2015,muy insatisfecho,MEDIA, semanal ,hardcore,NINTENDO,46,7,19,55,97,554,78.35,293.13,73.6,59.9,63.1,62.0
16051, The Witcher 3 ,electronic arts,Multiplataforma ,RPG,2015,muy satisfecho,Fácil, mensual , profesional ,PLAYSTATION,25,8,17,53,87,513,8.23,2.23,105.7,72.0,78.7,56.0
16052,CALL OF DUTY,ACTIVISION,MULTIPLATAFORMA,shooter,2003, Muy Insatisfecho , Muy Difícil ,DIARIA,Intermedio,PC,28,8,13,52,110,536,32.12,146.51,86.6,453.0,55.1,54.0
16053,Overwatch, Blizzard ,MULTIPLATAFORMA,SHOOTER,2016,MUY SATISFECHO,Muy Fácil,Ocasional, profesional ,PC,47,10,8,49,92,472,21.5,111.47,61.4,26.3,26.1,55.0
16054,Mortal Kombat,NetherRealm ,multiplataforma,Lucha ,1992, satisfecho ,Media,diaria,PROFESIONAL,Multiplataforma,51,7,10,59,111,475,50.87,20.77,96.8,285.7,44.0,63.0
16055, Civilization ,  Firaxis,PC,  Estrategia,1991,neutral,Fácil,ocasional,Casual, Nintendo ,15,12,11,33,97,549,18.56,250.47,50.2,4.4,36.4,56.0
16056,Gran Turismo,Polyphony Digital ,PLAYSTATION,Deportes ,1997, satisfecho ,Fácil,Diaria,CASUAL,Xbox,13,12,19,46,99,520,81.54,12.83,107.0,59.1,49.2,47.0
16057,Assassins Creed, Ubisoft , Multiplataforma ,ACCION/AVENTURA,2007,MUY SATISFECHO,muy dificil,OCASIONAL,Casual,multiplataforma,17,9,13,50,98,512,52.45,91.04,87.8,7.3,74.6,63.0
16058,age of empires,Microsoft ,pc, Estrategia ,1997,insatisfecho,Media,DIARIA,Hardcore,MULTIPLATAFORMA,53,12,16,48,105,482,41.73,20.38,101.5,130.7,-0.7,43.0
16059,ASSASSINS CREED, Ubisoft , Multiplataforma ,Accion/Aventura,2007, Muy Satisfecho ,facil,MENSUAL,INTERMEDIO,xbox,15,7,18,48,85,484,63.63,,50.3,93.8,41.8,66.0
16060,the witcher 3,cd projekt,Multiplataforma , RPG ,2015, Muy Satisfecho , Muy Fácil ,ocasional,Intermedio,Xbox,40,9,19,58,100,494,56.1,101.6,77.5,122.6,40.3,56.0
16061,SUPER SMASH BROS,  Nintendo,Switch ,  Lucha,1999,INSATISFECHO,Muy Fácil,Ocasional,profesional,pc,29,9,9,68,109,507,1.46,-500.0,,46.9,24.9,74.0
16062,Gran Turismo, Polyphony Digital ,  PlayStation,DEPORTES,1997,satisfecho,Fácil,ocasional, Casual ,Multiplataforma,37,5,15,58,97,482,20.08,,59.9,46.1,61.7,80.0
16063,fifa, EA Sports , Multiplataforma ,  Deportes,1993,neutral,Muy Fácil,mensual,hardcore,playstation,45,16,22,55,111,497,106.83,31.6,55.6,4.6,21.7,80.0
16064,STARCRAFT,BLIZZARD,PC, Estrategia ,1998,Muy Satisfecho, media , Diaria , intermedio , PlayStation ,21,10,12,50,98,508,5.37,146.44,82.6,43.1,24.0,66.0
16065,HOLLOW KNIGHT,team cherry,Multiplataforma,INDIE,2017,muy satisfecho, fácil ,Ocasional,hardcore,Multiplataforma,47,9,11,50,100,497,53.44,12.42,84.0,264.9,67.0,69.0
16066,minecraft,  Mojang,  PlayStation,Indie ,2011,NEUTRAL,MUY DIFÍCIL,Diaria, Casual ,Xbox,25,6,13,52,109,506,146.91,44.98,94.5,47.7,80.0,54.0
16067, Halo ,BUNGIE,XBOX,Shooter ,2001,muy satisfecho,MEDIA,MENSUAL,casual,nintendo,42,8,12,57,93,527,,187.27,67.4,178.0,48.5,74.0
16068,THE LEGEND OF ZELDA,Nintendo ,switch, Accion/Aventura ,2017,neutral,Muy Fácil,semanal, intermedio ,xbox,26,5,11,47,126,525,45.85,149.59,72.9,184.7,25.7,76.0
16069,Fortnite, Epic Games , Multiplataforma , Shooter ,2017, Neutral,facil,OCASIONAL,profesional,xbox,19,13,16,49,115,485,25.26,40.99,54.3,,35.9,29.0
