Observación;Contexto;Horas de estudio;Calificación (0-20);Número de hermanos
1;Rendimiento Académico;1.52;6.6;67
2;Rendimiento Académico;7.55;15.5;93
3;Rendimiento Académico;0.0;0.0;99
4;Rendimiento Académico;4.33;10.6;18
5;Rendimiento Académico;1.28;6.6;84
6;Rendimiento Académico;9.56;19.8;58
7;Rendimiento Académico;8.8;16.7;87
8;Rendimiento Académico;2.22;7.9;98
9;Rendimiento Académico;7.37;13.5;97
10;Rendimiento Académico;7.59;15.5;48
11;Rendimiento Académico;6.39;14.9;74
12;Rendimiento Académico;4.37;10.9;33
13;Rendimiento Académico;2.4;9.4;47
14;Rendimiento Académico;2.4;7.9;97
15;Rendimiento Académico;6.41;11.7;26
