Observación;Contexto;Inversión en ads ($);Ventas mensuales ($);Edad del cliente (años)
1;Marketing Digital;430.0;2002.02;37
2;Marketing Digital;0.0;0.0;32
3;Marketing Digital;483.0;2104.39;54
4;Marketing Digital;240.0;1321.38;50
5;Marketing Digital;238.0;1329.48;34
6;Marketing Digital;363.0;2048.1;22
7;Marketing Digital;1008.0;4077.58;67
8;Marketing Digital;142.0;906.22;73
9;Marketing Digital;280.0;1388.72;21
10;Marketing Digital;956.0;3958.64;20
11;Marketing Digital;810.0;3367.05;38
12;Marketing Digital;719.0;3030.12;57
13;Marketing Digital;594.0;2483.68;20
14;Marketing Digital;492.0;2163.72;38
15;Marketing Digital;253.0;1343.4;65
