Observación;Contexto;Precio del producto ($);Unidades vendidas;Temperatura del día (°C)
1;Economía Básica;56.0;160.0;29.0
2;Economía Básica;66.0;130.0;35.5
3;Economía Básica;41.0;195.0;31.7
4;Economía Básica;50.0;171.0;28.3
5;Economía Básica;150.0;86.0;31.7
6;Economía Básica;80.0;104.0;19.7
7;Economía Básica;96.0;47.0;20.9
8;Economía Básica;55.0;159.0;16.8
9;Economía Básica;40.0;194.0;18.8
10;Economía Básica;35.0;202.0;28.9
11;Economía Básica;28.0;241.0;12.8
12;Economía Básica;18.0;247.0;23.0
13;Economía Básica;14.0;283.0;22.9
14;Economía Básica;13.0;278.0;24.8
15;Economía Básica;31.0;228.0;22.8
