Observación;Contexto;Edad del auto (años);Precio de reventa ($);Kilometraje mensual promedio (km)
1;Automotriz;1.0;24246.0;81.2
2;Automotriz;15.0;7178.0;92.6
3;Automotriz;10.0;12294.0;139.3
4;Automotriz;0.0;35000.0;144.4
5;Automotriz;1.0;24177.0;100.2
6;Automotriz;14.0;7519.0;112.4
7;Automotriz;8.0;16051.0;61.6
8;Automotriz;1.0;23261.0;81.7
9;Automotriz;2.0;22902.0;91.5
10;Automotriz;3.0;21870.0;136.6
11;Automotriz;4.0;21215.0;75.0
12;Automotriz;13.0;9600.0;98.3
13;Automotriz;11.0;11674.0;148.6
14;Automotriz;10.0;12473.0;101.9
15;Automotriz;6.0;17784.0;111.3
