Observación;Contexto;Años de experiencia;Salario mensual ($);Número de empleados en la empresa
1;Recursos Humanos;16.0;7039.0;66
2;Recursos Humanos;1.0;3225.0;48
3;Recursos Humanos;2.0;3241.0;17
4;Recursos Humanos;3.0;3813.0;6
5;Recursos Humanos;5.0;4186.0;87
6;Recursos Humanos;8.0;5314.0;47
7;Recursos Humanos;10.0;5595.0;16
8;Recursos Humanos;13.0;6230.0;60
9;Recursos Humanos;15.0;6903.0;41
10;Recursos Humanos;18.0;7390.0;26
11;Recursos Humanos;30.0;7123.0;46
12;Recursos Humanos;14.0;6693.0;50
13;Recursos Humanos;3.0;3706.0;1
14;Recursos Humanos;11.0;5629.0;36
15;Recursos Humanos;7.0;4636.0;30
