Observación;Contexto;Horas de entrenamiento;Tiempo en 100m (seg);Altura del atleta (cm)
1;Atletismo;14.27;11.04;158.7
2;Atletismo;18.1;10.18;164.5
3;Atletismo;5.51;13.03;184.2
4;Atletismo;9.29;12.2;178.5
5;Atletismo;0.0;15.0;165.7
6;Atletismo;9.69;11.62;159.3
7;Atletismo;7.62;12.82;165.2
8;Atletismo;8.88;12.14;172.0
9;Atletismo;11.22;11.67;172.3
10;Atletismo;13.08;11.07;150.2
11;Atletismo;16.19;10.87;175.5
12;Atletismo;17.8;10.24;152.3
13;Atletismo;18.95;10.16;151.7
14;Atletismo;6.16;13.32;185.0
15;Atletismo;5.66;13.05;161.7
