Observación;Contexto;Kg de fertilizante;Toneladas de cosecha;Humedad del suelo (%)
1;Agricultura;21.28;29.56;32.9
2;Agricultura;94.05;66.64;21.0
3;Agricultura;50.13;45.26;36.2
4;Agricultura;41.37;39.47;10.9
5;Agricultura;34.11;36.63;26.6
6;Agricultura;27.43;34.22;17.2
7;Agricultura;83.83;62.57;36.5
8;Agricultura;15.72;28.72;23.8
9;Agricultura;12.43;26.37;15.8
10;Agricultura;75.73;58.64;18.8
11;Agricultura;65.46;54.15;34.5
12;Agricultura;15.98;28.59;26.8
13;Agricultura;59.24;50.3;30.3
14;Agricultura;150.0;61.46;34.3
15;Agricultura;50.52;45.56;36.1
