Observación;Contexto;Temperatura (°C);Consumo de A/C (kWh);Humedad relativa (%)
1;Climatología;15.47;78.5;22.5
2;Climatología;16.91;86.1;11.8
3;Climatología;17.64;93.3;24.4
4;Climatología;20.2;100.8;25.6
5;Climatología;22.74;114.5;27.4
6;Climatología;50.0;149.0;19.3
7;Climatología;28.0;137.5;37.6
8;Climatología;35.65;171.5;29.7
9;Climatología;38.95;185.3;20.5
10;Climatología;21.98;109.5;26.2
11;Climatología;16.16;83.9;23.5
12;Climatología;13.84;74.6;18.5
13;Climatología;27.04;128.2;18.9
14;Climatología;31.66;155.4;26.9
15;Climatología;26.17;128.7;31.5
