Observación;Contexto;Altitud (m);Temperatura promedio (°C);Longitud geográfica (°)
1;Geografía;3328.63;5.06;49
2;Geografía;3310.31;4.96;57
3;Geografía;768.48;20.63;88
4;Geografía;3325.83;5.1;88
5;Geografía;5000.0;12.76;5
6;Geografía;105.64;24.52;70
7;Geografía;549.33;22.26;57
8;Geografía;284.68;23.84;61
9;Geografía;915.38;19.52;10
10;Geografía;1349.27;16.96;67
11;Geografía;1770.02;14.11;34
12;Geografía;2129.74;12.13;70
13;Geografía;2611.91;9.13;10
14;Geografía;3194.55;5.74;80
15;Geografía;3754.13;2.11;29
