Observación;Contexto;Número de repartidores;Tiempo de entrega (horas);Peso del paquete (kg)
1;Logística;16.7;15.1;57.9
2;Logística;5.59;32.3;135.9
3;Logística;19.49;11.4;132.2
4;Logística;5.5;32.3;141.0
5;Logística;30.0;16.0;62.9
6;Logística;5.54;31.9;58.2
7;Logística;20.91;8.7;63.8
8;Logística;2.32;36.8;89.9
9;Logística;3.23;34.9;92.4
10;Logística;4.88;33.3;106.2
11;Logística;6.75;30.1;62.2
12;Logística;8.51;27.7;70.1
13;Logística;10.47;24.5;131.2
14;Logística;12.08;22.2;96.8
15;Logística;14.28;19.2;130.8
