Observación;Contexto;Monto de préstamo ($);Interés total ($);Edad del solicitante (años)
1;Finanzas;31345.63;4630.54;35
2;Finanzas;34225.06;5249.38;63
3;Finanzas;9249.77;1398.59;40
4;Finanzas;49691.55;7735.09;71
5;Finanzas;0.0;0.0;43
6;Finanzas;2950.55;550.58;28
7;Finanzas;27516.25;4235.44;65
8;Finanzas;1396.13;367.42;18
9;Finanzas;6378.48;1064.77;53
10;Finanzas;11017.56;1760.63;67
11;Finanzas;16987.63;2656.14;37
12;Finanzas;22572.34;3493.85;48
13;Finanzas;34104.45;5223.67;25
14;Finanzas;41215.09;6290.26;57
15;Finanzas;48352.28;7360.84;41
