Observación;Contexto;Metros cuadrados;Costo de construcción ($);Humedad ambiental (%)
1;Construcción;205.0;184000.0;13.1
2;Construcción;178.0;162400.0;31.0
3;Construcción;145.0;136000.0;29.8
4;Construcción;88.0;90400.0;11.5
5;Construcción;52.0;61600.0;33.8
6;Construcción;65.0;72400.0;25.6
7;Construcción;127.0;120633.0;22.8
8;Construcción;220.0;197926.0;33.6
9;Construcción;266.0;237191.0;22.3
10;Construcción;98.0;106871.0;24.4
11;Construcción;0.0;0.0;15.4
12;Construcción;235.0;208000.0;19.6
13;Construcción;265.0;232000.0;35.4
14;Construcción;112.0;109600.0;15.6
15;Construcción;295.0;256000.0;22.5
