Observación;Contexto;Calorías extra diarias;Aumento de peso (kg/mes);Edad del participante (años)
1;Nutrición;142.81;1.64;34
2;Nutrición;401.98;3.77;46
3;Nutrición;926.28;7.94;56
4;Nutrición;1500.0;7.28;52
5;Nutrición;955.11;8.14;25
6;Nutrición;392.05;3.72;60
7;Nutrición;745.53;6.46;55
8;Nutrición;845.63;7.27;32
9;Nutrición;535.93;4.79;67
10;Nutrición;451.56;4.11;18
11;Nutrición;365.06;3.42;50
12;Nutrición;285.14;2.78;20
13;Nutrición;211.14;2.19;56
14;Nutrición;635.64;5.59;55
15;Nutrición;936.15;8.02;65
