Observación;Contexto;Temperatura (K);Volumen de gas (L);Presión atmosférica (atm)
1;Química (Ley de Charles);254.69;112.04;1.06
2;Química (Ley de Charles);238.76;106.29;0.93
3;Química (Ley de Charles);348.02;149.42;0.92
4;Química (Ley de Charles);356.62;151.52;0.99
5;Química (Ley de Charles);308.62;133.45;0.91
6;Química (Ley de Charles);378.29;161.32;0.96
7;Química (Ley de Charles);359.14;153.66;0.98
8;Química (Ley de Charles);341.55;146.62;0.97
9;Química (Ley de Charles);325.27;140.11;0.97
10;Química (Ley de Charles);292.45;126.98;1.06
11;Química (Ley de Charles);278.64;121.46;1.01
12;Química (Ley de Charles);263.88;115.55;1.01
13;Química (Ley de Charles);251.56;110.62;0.92
14;Química (Ley de Charles);500.0;163.59;1.06
15;Química (Ley de Charles);395.43;168.17;0.99
