Observación;Contexto;Velocidad del viento (m/s);Potencia generada (kW);Humedad relativa (%)
1;Energía Eólica;10.12;161.8;23.3
2;Energía Eólica;3.22;58.3;31.5
3;Energía Eólica;4.32;74.8;22.3
4;Energía Eólica;5.52;92.8;15.7
5;Energía Eólica;6.65;109.8;39.0
6;Energía Eólica;7.85;127.8;29.5
7;Energía Eólica;12.65;199.8;36.0
8;Energía Eólica;9.15;147.3;10.8
9;Energía Eólica;14.21;223.2;18.0
10;Energía Eólica;5.34;88.1;25.1
11;Energía Eólica;23.0;225.8;12.0
12;Energía Eólica;10.44;166.1;39.8
13;Energía Eólica;14.95;236.6;17.1
14;Energía Eólica;3.36;56.8;21.2
15;Energía Eólica;11.32;179.8;16.4
