Observación;Contexto;Distancia al trabajo (km);Gasto mensual combustible ($);Edad del conductor (años)
1;Transporte;37.55;198.98;34
2;Transporte;27.85;155.33;44
3;Transporte;6.12;57.54;19
4;Transporte;22.11;129.5;25
5;Transporte;17.55;108.98;55
6;Transporte;13.22;89.49;37
7;Transporte;43.21;224.45;66
8;Transporte;48.55;248.48;54
9;Transporte;80.0;235.03;74
10;Transporte;32.14;174.63;38
11;Transporte;9.45;72.53;43
12;Transporte;49.76;255.43;48
13;Transporte;11.82;91.61;37
14;Transporte;27.47;152.8;23
15;Transporte;38.66;200.66;67
