Observación;Contexto;Lluvia anual (mm);Biomasa del bosque (ton);Humedad del suelo (%)
1;Ecología;1085.32;64.27;20.6
2;Ecología;1215.66;70.78;39.2
3;Ecología;625.33;41.27;30.3
4;Ecología;785.21;49.26;31.0
5;Ecología;485.66;34.28;23.8
6;Ecología;925.44;56.27;12.1
7;Ecología;2500.0;83.43;39.9
8;Ecología;215.45;20.77;29.1
9;Ecología;1355.22;77.76;12.0
10;Ecología;571.47;38.79;14.4
11;Ecología;1515.25;84.48;35.2
12;Ecología;1149.27;66.55;18.3
13;Ecología;1025.78;61.45;26.2
14;Ecología;342.12;27.11;12.4
15;Ecología;1485.55;84.28;27.0
