Observación;Contexto;Velocidad de máquina (rpm);Piezas defectuosas (%);Temperatura ambiente (°C)
1;Manufactura Pesada;445.22;23.26;20.9
2;Manufactura Pesada;145.22;8.26;19.5
3;Manufactura Pesada;700.0;20.88;29.6
4;Manufactura Pesada;206.66;11.75;20.6
5;Manufactura Pesada;387.23;20.07;31.5
6;Manufactura Pesada;137.95;8.22;28.8
7;Manufactura Pesada;485.55;25.28;39.0
8;Manufactura Pesada;406.82;21.36;18.4
9;Manufactura Pesada;355.66;18.78;17.4
10;Manufactura Pesada;315.21;16.76;12.3
11;Manufactura Pesada;265.44;14.27;36.8
12;Manufactura Pesada;225.33;12.27;11.0
13;Manufactura Pesada;185.66;10.28;24.7
14;Manufactura Pesada;395.33;20.77;10.0
15;Manufactura Pesada;112.55;6.63;36.7
