Observación;Contexto;Ancho de banda (Mbps);Tiempo de descarga (seg);Antigüedad del cliente (meses)
1;Telecomunicaciones;0.0;150.0;53
2;Telecomunicaciones;87.44;15.94;4
3;Telecomunicaciones;86.23;23.06;40
4;Telecomunicaciones;70.92;36.51;52
5;Telecomunicaciones;95.69;6.28;56
6;Telecomunicaciones;58.44;49.87;65
7;Telecomunicaciones;12.45;105.06;78
8;Telecomunicaciones;25.66;89.21;72
9;Telecomunicaciones;38.22;74.14;71
10;Telecomunicaciones;48.55;61.74;30
11;Telecomunicaciones;68.33;37.99;25
12;Telecomunicaciones;78.55;25.74;39
13;Telecomunicaciones;88.22;14.14;80
14;Telecomunicaciones;95.66;5.21;75
15;Telecomunicaciones;98.44;1.87;25
