Observación;Contexto;Edad del perro (años);Visitas al veterinario/año;Peso del perro (kg)
1;Veterinaria;4.85;2.94;87.2
2;Veterinaria;1.22;1.49;135.7
3;Veterinaria;5.97;3.4;52.7
4;Veterinaria;0.57;1.16;142.0
5;Veterinaria;3.66;2.46;118.1
6;Veterinaria;7.4;3.81;140.4
7;Veterinaria;0.0;0.0;110.8
8;Veterinaria;14.55;6.82;131.2
9;Veterinaria;12.45;5.98;83.6
10;Veterinaria;2.45;1.98;85.0
11;Veterinaria;8.85;4.54;89.0
12;Veterinaria;7.55;4.02;125.5
13;Veterinaria;6.12;3.45;86.9
14;Veterinaria;9.38;4.78;74.2
15;Veterinaria;10.22;5.09;143.8
