Observación;Contexto;Ingresos del barrio (k$);Tasa de criminalidad (por 1000);Edad del encuestado (años)
1;Sociología;75.55;12.34;51
2;Sociología;65.44;15.37;57
3;Sociología;55.33;18.4;52
4;Sociología;45.66;21.3;30
5;Sociología;96.55;6.04;60
6;Sociología;22.55;28.24;44
7;Sociología;85.22;9.43;25
8;Sociología;35.22;24.43;58
9;Sociología;73.01;13.8;59
10;Sociología;81.08;10.68;46
11;Sociología;44.37;21.86;33
12;Sociología;120.0;18.13;60
13;Sociología;98.44;5.47;70
14;Sociología;19.67;30.01;63
15;Sociología;92.66;7.2;22
