Observación;Contexto;Tiempo de horneado (min);Dureza del pan (1-10);Humedad ambiental (%)
1;Gastronomía;16.22;4.43;26.6
2;Gastronomía;22.55;5.38;25.1
3;Gastronomía;28.44;6.27;12.5
4;Gastronomía;35.66;7.35;27.4
5;Gastronomía;42.33;8.35;28.9
6;Gastronomía;48.55;9.28;27.6
7;Gastronomía;52.22;9.83;31.7
8;Gastronomía;55.44;10.32;12.5
9;Gastronomía;58.66;10.8;39.4
10;Gastronomía;59.55;10.93;13.6
11;Gastronomía;25.97;5.81;13.3
12;Gastronomía;13.21;3.97;25.2
13;Gastronomía;61.94;11.35;23.3
14;Gastronomía;33.15;7.07;15.5
15;Gastronomía;0.0;0.0;22.6
