Observación;Contexto;Peso del avión (ton);Combustible por hora (L);Edad del avión (años)
1;Aviación;92.66;4372.7;69
2;Aviación;85.22;4037.9;31
3;Aviación;65.44;3147.8;54
4;Aviación;55.33;2692.85;64
5;Aviación;45.66;2257.7;24
6;Aviación;35.22;1787.15;29
7;Aviación;0.0;0.0;45
8;Aviación;96.55;4547.75;20
9;Aviación;70.67;3477.63;39
10;Aviación;75.08;3603.25;68
11;Aviación;80.04;3712.07;38
12;Aviación;29.21;1534.28;46
13;Aviación;22.55;1214.75;37
14;Aviación;98.44;4632.8;20
15;Aviación;75.55;3602.75;44
