Observación;Contexto;Horas de uso de batería;Porcentaje de carga restante;Antigüedad del equipo (meses)
1;Tecnología Móvil;7.85;37.2;32
2;Tecnología Móvil;6.43;46.75;26
3;Tecnología Móvil;5.69;54.32;33
4;Tecnología Móvil;5.24;60.26;60
5;Tecnología Móvil;0.73;95.99;9
6;Tecnología Móvil;0.0;100.0;81
7;Tecnología Móvil;6.66;46.72;70
8;Tecnología Móvil;5.22;58.24;46
9;Tecnología Móvil;3.85;69.2;7
10;Tecnología Móvil;2.55;79.6;7
11;Tecnología Móvil;1.22;90.24;69
12;Tecnología Móvil;9.12;27.04;33
13;Tecnología Móvil;10.44;16.48;10
14;Tecnología Móvil;11.22;10.24;81
15;Tecnología Móvil;11.85;5.2;28
