Observación;Contexto;Idiomas hablados;Puntuación test cognitivo;Edad del participante (años)
1;Lingüística;5.93;127.29;45
2;Lingüística;2.65;100.85;64
3;Lingüística;3.05;105.17;26
4;Lingüística;5.55;124.4;64
5;Lingüística;5.85;126.8;27
6;Lingüística;10.0;105.5;41
7;Lingüística;1.22;89.76;43
8;Lingüística;1.85;94.8;25
9;Lingüística;2.44;99.52;22
10;Lingüística;2.95;103.6;30
11;Lingüística;3.55;108.4;39
12;Lingüística;4.12;112.96;51
13;Lingüística;4.66;117.28;42
14;Lingüística;5.15;121.2;40
15;Lingüística;4.93;120.1;58
