ID_Evento,Fecha_Evento,Tipo_Evento,Competicion,Rival,Local_Visitante,Goles_FCB,Goles_Rival,Resultado_Partido,Jugador_Clave,Estado_Jugador_Clave,Posesion_Porcentaje_FCB,Nivel_Rendimiento
1001,2024-11-11 00:00:00,Rueda de Prensa,champions league,Real Madrid,Visitante,2,2,Empate,Pedri,Disponible,68.3,Regular
1002,2025-04-28 00:00:00,Partido,La liga,PSG,visitante,0,2,Empate,Ter Stegen,Disponible,47.1,Regular
1003,2024-11-15 00:00:00,Partido,Supercopa España,Real Madrid,Local,4,2,derrota,De Jong,Sancionado,43.2,Regular
1004,2024-10-11 00:00:00,Partido,champions league,Sevilla,Visitante,0,1,Victoria,Pedri,Sancionado,63.0,Regular
1005,2025-02-05 00:00:00,Partido,Copa del Rey,Bayern M.,visitante,2,2,Victoria,Lewandowski,Lesionado,55.0,Regular
1006,2024-08-21 00:00:00,Partido,Champions League,Atlético Madrid,Local,4,0,empate,Pedri,Lesionado,53.0,Regular
1007,2024-11-11 00:00:00,Partido,Copa del Rey,Bayern M.,local,2,0,empate,Ter Stegen,Disponible,47.5,Regular
1008,2024-11-30 00:00:00,Rueda de Prensa,Champions League,PSG,visitante,4,1,Derrota,Pedri,Disponible,56.4,Regular
1009,2025-03-03 00:00:00,Partido,champions league,Bayern M.,Local,2,3,derrota,De Jong,Disponible,48.2,Regular
1010,2024-10-27 00:00:00,Partido,La Liga,PSG,visitante,1,0,victoria,Araujo,Disponible,67.0,Bueno
1011,2024-11-08 00:00:00,Entrenamiento,La liga,PSG,visitante,2,3,derrota,Ter Stegen,Ausente,46.5,Regular
1012,2024-12-30 00:00:00,Rueda de Prensa,champions league,PSG,visitante,1,1,Derrota,Lewandowski,Baja,66.5,Regular
1013,2024-12-09 00:00:00,Rueda de Prensa,Copa del Rey,Sevilla,visitante,2,3,empate,De Jong,Fuera,56.8,Regular
1014,2024-12-28 00:00:00,Partido,Supercopa España,PSG,visitante,4,3,derrota,Pedri,,64.9,Regular
1015,2025-04-15 00:00:00,Partido,Supercopa España,PSG,visitante,4,3,derrota,Pedri,Dudoso,61.4,Regular
1016,2025-05-21 00:00:00,Partido,Amistoso,Atlético Madrid,Local,4,3,empate,Araujo,Enfermo,60.9,Regular
1017,2025-02-08 00:00:00,Partido,Champions League,Real Madrid,local,3,1,Derrota,Lewandowski,Lesionado,49.7,Regular
1018,2025-05-04 00:00:00,Partido,Copa del Rey,Girona,Visitante,0,0,empate,Lewandowski,Disponible,47.0,Regular
1019,2025-01-08 00:00:00,Partido,Amistoso,Real Madrid,visitante,4,2,Victoria,Gavi,Disponible,46.3,Bueno
1020,2024-08-22 00:00:00,Partido,Copa del Rey,PSG,Visitante,1,3,victoria,Lewandowski,Lesionado,65.7,Regular
1021,2025-04-10 00:00:00,Partido,Champions League,Atlético Madrid,Local,-1,0,empate,Araujo,Disponible,64.6,Regular
1022,2025-03-24 00:00:00,Partido,champions league,Bayern M.,visitante,10,0,Derrota,Lamine Yamal,Disponible,53.2,Regular
1023,2024-09-18 00:00:00,Partido,champions league,Atlético Madrid,local,Uno,1,Empate,Gavi,Lesionado,44.0,Regular
1024,2024-09-28 00:00:00,Partido,Supercopa España,PSG,Visitante,Muchos,0,Victoria,Gavi,Lesionado,51.5,Excelente
1025,2025-01-17 00:00:00,Partido,champions league,Atlético Madrid,visitante,,1,Empate,Pedri,Disponible,58.6,Regular
1026,2025-02-04 00:00:00,Partido,champions league,Atlético Madrid,Local,2 goles,3,empate,Pedri,Lesionado,53.6,Regular
1027,2025-04-28 00:00:00,Partido,La Liga,PSG,local,0,3,Victoria,Lewandowski,Lesionado,63.4,Regular
1028,2025-02-06 00:00:00,Partido,Supercopa España,Sevilla,Visitante,0,2,victoria,Gavi,Disponible,69.9,Regular
1029,2025-01-22 00:00:00,Partido,Amistoso,Atlético Madrid,Visitante,3,2,empate,Pedri,Indisponible,45.7,Regular
1030,2024-09-20 00:00:00,Partido,La liga,Girona,visitante,0,2,victoria,Araujo,Lesionado,53.8,Regular
1031,01/2026,Partido,La Liga,Girona,local,3,0,derrota,Pedri,Lesionado,52.9,Regular
1032,29-feb-2025,Partido,Amistoso,Atlético Madrid,local,3,3,Empate,Ter Stegen,Lesionado,49.1,Regular
1033,2024/09/15,Rueda de Prensa,Champions League,Sevilla,local,3,1,Victoria,Ter Stegen,Disponible,45.9,Bueno
1034,10-10-23,Partido,La Liga,Bayern M.,local,0,2,victoria,Pedri,Disponible,42.0,Regular
1035,31/04/2025,Partido,Amistoso,PSG,Local,3,1,Derrota,Gavi,Disponible,66.6,Regular
1036,Ayer,Rueda de Prensa,Champions League,Girona,local,0,1,victoria,Lamine Yamal,Disponible,52.6,Regular
1037,2025-05-01 00:00:00,Partido,Supercopa España,Bayern M.,Visitante,3,2,Derrota,Lamine Yamal,Disponible,54.9,Regular
1038,2024-10-28 00:00:00,Entrenamiento,La liga,Atlético Madrid,Visitante,4,3,empate,Gavi,Sancionado,67.5,Regular
1039,2024-08-14 00:00:00,Partido,Champions League,Bayern M.,Local,3,2,Victoria,De Jong,Lesionado,63.3,Bueno
1040,2025-03-30 00:00:00,Partido,champions league,Real Madrid,Visitante,1,1,victoria,Lamine Yamal,Disponible,43.9,Regular
1041,2025-04-22 00:00:00,Partido,Copa del Rey,Girona,Visitante,3,2,victoria,Ter Stegen,Sancionado,Cincuenta,Bueno
1042,2024-09-22 00:00:00,Entrenamiento,Champions League,Atlético Madrid,local,2,1,Victoria,Araujo,Lesionado,70%,Bueno
1043,2024-10-31 00:00:00,Partido,Champions League,PSG,Visitante,3,1,victoria,Gavi,Disponible,Baja,Bueno
1044,2025-04-21 00:00:00,Rueda de Prensa,La liga,Sevilla,Local,1,2,Derrota,Lewandowski,Disponible,Alta,Regular
1045,2024-09-04 00:00:00,Partido,Copa del Rey,Atlético Madrid,local,1,0,victoria,Ter Stegen,Disponible,,Bueno
1046,2025-02-22 00:00:00,Entrenamiento,champions league,PSG,visitante,0,2,Empate,Araujo,Lesionado,Sesenta y cinco,Regular
1047,2024-10-20 00:00:00,Partido,Amistoso,Sevilla,local,4,0,empate,Araujo,Disponible,64.1,Regular
1048,2024-09-19 00:00:00,Entrenamiento,Amistoso,Sevilla,Local,3,1,derrota,Gavi,Lesionado,41.6,Regular
1049,2024-08-02 00:00:00,Partido,Champions League,Atlético Madrid,local,0,1,Derrota,Araujo,Disponible,44.8,Regular
1050,2024-09-23 00:00:00,Partido,Copa del Rey,Bayern M.,local,4,0,Empate,Gavi,Lesionado,50.1,Regular
1051,2024-11-14 00:00:00,Partido,Copa del Rey, Real Madrid,Local,3,1,empate,Lamine Yamal,Lesionado,42.3,Regular
1052,2025-04-17 00:00:00,Partido,champions league,Atletico Madrid ,local,2,0,Victoria,Pedri,Lesionado,47.0,Bueno
1053,2025-02-07 00:00:00,Partido,La liga, PSG ,Local,3,0,Derrota,Ter Stegen,Indisponible,64.9,Regular
1054,2025-03-06 00:00:00,Partido,Supercopa España, Bayern M.,Local,1,1,derrota,De Jong,Lesionado,68.4,Regular
