ID_Estudiante,Universidad,Carrera,Edad,Sexo,Año_Cursado,Actividad_Extracurricular,Red_Social_Favorita,Motivacion_Principal,Reto_Mayor,Tecnologia_Clave,Promedio_Academico,Horas_Estudio_Semana,Horas_Ocio_Semana,Satisfaccion_Vida,Emprende,Fecha_Registro
1,UNIMET,Arquitectura,23,Femenino,2,Deporte,TikTok,Networking,Desinformación,HTML/CSS,10.45,37.6,3.8,Media,NO,2022-10-20
2,UCAB,Derecho,19,Masculino,2,Deporte,TikTok,Reconocimiento,Estrés académico,Python,16.56,26.7,10.9,Alta,Sí,2022-03-04
3,UNEXPO,Economía,26,Masculino,3,Voluntariado,Discord,Impactar en la sociedad,Estrés académico,Figma,15.35,33.1,8.2,Alta,No,2023-02-20
4,LUZ,Ingeniería,26,Masculino,1,Música,Instagram,Reconocimiento,Desinformación,Canva,10.82,7.9,16.4,Media,No,2023-05-09
5,UNIMET,Arquitectura,19,Femenino,4,Gaming,Twitter/X,Networking,Desinformación,Power BI,10.35,18.5,4.9,Alta,No,2023-01-03
6,UPEL,Psicología,18,Masculino,6,Investigación,WhatsApp,Diversión,Presión social,SPSS,19.9,18.1,23.0,Muy baja,Sí,2022-06-07
7,USB,Ingeniería,17,Femenino,4,Emprendimiento,Instagram,Reconocimiento,Falta de tiempo,SQL,10.3,36.0,27.4,Media,No,2023-02-28
8,UNIMET,Educación,23,Femenino,6,Investigación,TikTok,Diversión,Desigualdad,R,14.45,10.3,22.8,Muy baja,No,2022-02-27
9,UNEXPO,Administración,23,FEMENINO,1,Voluntariado,Discord,Networking,Desmotivación,Figma,15.05,10.3,16.9,Muy alta,NO,2023-09-15
10,LUZ,Psicología,18,Femenino,1,Club de Debate,Discord,Networking,Desinformación,JavaScript,11.17,16.5,26.1,Muy alta,Sí,2022-12-13
11,UCAB,ingenieria,23,Masculino,1,Música,WhatsApp,Superación personal,Falta de recursos,Excel,11.69,6.9,21.5,Media,No,2022-12-17
12,UNEXPO,MEDICINA,24,Masculino,2,Emprendimiento,Discord,Networking,Estrés académico,HTML/CSS,13.52,11.4,2.3,Media,No,2023-05-27
13,UNEXPO,derecho,17,Masculino,6,Danza,Discord,Networking,Desinformación,Figma,17.62,38.8,13.0,Alta,No,2023-01-10
14,USB,Psicologia,25,Masculino,2,Club de Debate,Instagram,Desarrollar habilidades,Falta de recursos,Excel,15.07,20.0,25.8,Media,No,2022-11-22
15,UC,comunicación social,23,Femenino,2,Deporte,Twitter/X,Impactar en la sociedad,Falta de recursos,R,16.38,27.1,11.7,Muy alta,No,2023-09-13
16,LUZ,Arquitectura,19,Femenino,5,Arte,WhatsApp,Superación personal,Falta de recursos,HTML/CSS,19.85,30.4,3.0,Alta,No,2022-10-16
17,UCV,Biología,24,Masculino,4,Danza,Instagram,Innovar,Presión social,HTML/CSS,17.68,17.8,22.9,Media,No,2022-03-23
18,UNEXPO,Derecho,23,Femenino,4,Investigación,Twitter/X,Superación personal,Presión social,Power BI,14.34,10.2,24.5,Alta,No,2023-08-29
19,UC,Educación,27,Femenino,3,Investigación,Instagram,Superación personal,Desmotivación,Figma,14.46,12.2,6.5,Media,No,2022-02-19
20,UCV,Derecho,24,Femenino,2,Deporte,Facebook,Innovar,Desmotivación,Canva,16.19,16.0,17.0,Muy alta,Sí,2022-03-02
