ID_Venta,Medicamento,Categoría,Precio_Unitario (USD),Cantidad,Total_Venta (USD),Fecha_Venta,Método_Pago,Sucursal,Receta_Médica,Descuento (%),Stock_Actual
1001,Amoxicilina,Antiinflamatorio,19.35,2,38.7,2023-10-09,Efectivo en Bs,Norte,Sí,0,76
1002,Acetaminofén,Vitamina,47.59,1,47.59,2023-03-27,Efectivo en Bs,Norte,No,0,43
1003,Aspirina,Antibiótico,36.87,6,221.22,2023-09-07,Transferencia,Oeste,No,0,16
1004,Acetaminofén,Vitamina,30.33,5,144.07,2023-09-27,Efectivo en $,Sur,No,5,164
1005,Ibuprofeno,Analgésico,8.64,9,77.76,2023-12-01,Pago Móvil,Norte,No,0,28
1006,Atorvastatina,Analgésico,8.64,1,8.64,2023-04-27,Pago Móvil,Este,No,0,3
1007,Cetirizina,Antiinflamatorio,3.85,7,26.95,2023-01-07,Efectivo en $,Oeste,No,0,80
1008,Aspirina,Analgésico,43.44,5,217.2,2023-05-17,Tarjeta,Sur,No,0,30
1009,Salbutamol,Antialérgico,30.45,5,152.25,2023-06-25,Tarjeta,Este,Sí,0,59
1010,Aspirina,Vitamina,35.7,2,67.83,2023-11-24,Pago Móvil,Oeste,No,5,381
1011,Acetaminofén,Vitamina,2.01,3,6.03,2023-11-11,Tarjeta,Centro,No,0,-5
1012,Ibuprofeno,Vitamina,48.53,7,339.71,2023-08-03,Efectivo en Bs,Este,No,0,1000
1013,Ibuprofeno,Analgésico,41.79,6,238.2,2023-03-23,Efectivo en $,Este,Sí,5,-5
1014,Paracetamol,Antibiótico,11.4,2,22.8,2023-08-11,Efectivo en Bs,Norte,Sí,0,1000
1015,Diclofenaco,Vitamina,9.91,6,59.46,2023-04-13,Efectivo en Bs,Sur,No,0,-5
1016,Ibuprofeno,Vitamina,9.99,2,20.98,2023-09-30,Efectivo en $,Este,No,-5,1000
1017,Aspirina,Vitamina,15.91,2,31.82,2023-01-14,Transferencia,Oeste,Sí,0,84
1018,Metformina,Analgésico,26.71,2,53.42,2023-06-08,Transferencia,Este,No,0,58
1019,Losartán,Antibiótico,22.17,3,66.51,2023-06-01,Efectivo en $,Oeste,Sí,0,42
1020,Loratadina,Antiinflamatorio,15.27,2,30.54,2023-04-18,Efectivo en Bs,Oeste,Sí,0,145
1021,Aspirina,Vitamina,30.98,4,123.92,2023-07-07,Efectivo en Bs,Sur,No,40,51
1022,Amoxicilina,Analgésico,7.84,9,70.56,2023-10-28,Efectivo en Bs,Oeste,No,110,31
