ID_Prestamo,PYME_ID,Sector,Años_Operando,Ingresos_Anuales (USD),Monto_Prestamo (USD),Plazo (meses),Tasa_Interes (%),Score_Credito,Garantia,Resultado,Fecha_Solicitud
10001,5103,Manufactura,5,23065.22,98449.5,36,14.2,536,Sí,Aprobado,2023-09-30
10002,5436,servICIOS,9,157778.3,27722.11,24,6.3,345,No,rechazado,2023-12-02
10003,5861,comercio,17,316124.92,18513.69,24,12.3,561,Sí,Aprobado,2023-05-10
10004,5271,Manufactura,9,490969.37,16531.57,36,6.2,475,si,Aprobado,2023-05-12
10005,5107,Agricultura,11,323270.49,33811.14,36,11.1,465,No,Pendiente,2023-03-26
10006,5072,Manufactura,15,144705.72,14599.35,36,11.1,669,Sí,Aprobado,2023-12-16
10007,5701,Manufactura,6,324322.74,70755.33,12,6.0,353,No,Aprobado,2023-03-22
10008,5002,comercio,3,279192.98,10917.72,36,10.2,718,No,Aprobado,2023-11-21
10009,5615,Tecnologia,17,394325.79,53395.1,6,6.7,806,Sí,Aprobado,2023-03-10
10010,5122,Manufactura,5,71350.71,99686.2,24,17.1,640,NO,Aprobado,2023-05-28
10011,5467,Comercio Electrónico,12,385293.39,82327.18,12,19.2,426,Sí,rechazado,2023-01-16
10012,5215,Comercio Electrónico,18,279807.96,63445.85,36,6.1,708,Sí,Pendiente,2023-11-03
10013,5331,Comercio Electrónico,14,482236.16,34094.09,12,19.3,666,No,Aprobado,2023-04-15
10014,5459,Comercio Electrónico,11,184098.64,64270.1,36,12.8,570,No,Aprobado,2023-06-14
10015,5088,Comercio Electrónico,9,323658.51,55068.94,12,9.5,678,No,Aprobado,2023-07-20
10016,5373,Comercio Electrónico,2,467373.49,45477.92,24,6.2,372,No,rechazado,2023-07-16
10017,5100,Tecnologia,12,69204.67,17417.49,24,12.5,547,No,Aprobado,2023-07-04
10018,5872,Tecnologia,3,469869.67,89227.4,6,16.9,342,No,Aprobado,2023-11-18
10019,5664,Agricultura,3,350185.15,47729.54,6,15.6,676,Sí,Aprobado,2023-09-22
10020,5131,Tecnologia,1,52561.79,23489.14,36,5.8,340,Sí,Aprobado,2023-12-29
10021,5662,Agricultura,8,8000000.0,39937.14,24,6.1,469,Sí,Aprobado,2023-04-10
10022,5309,Tecnologia,8,8000000.0,44342.33,12,11.0,511,Sí,rechazado,2023-12-08
10023,5770,servICIOS,11,8000000.0,83616.1,12,9.4,792,No,Aprobado,2023-11-16
10024,5344,Tecnologia,9,8000000.0,74693.37,12,8.5,338,Sí,Aprobado,2023-08-02
10025,5492,Agricultura,5,-2000.0,78083.96,6,9.2,668,Sí,Aprobado,2023-10-05
10026,5414,Manufactura,14,10000000.0,6047.97,12,17.1,450,Sí,rechazado,2023-06-11
10027,5806,Tecnologia,3,-2000.0,44534.63,6,18.9,410,si,Aprobado,2023-06-06
10028,5386,Manufactura,5,-2000.0,50727.69,6,11.1,779,si,Aprobado,2023-09-08
10029,5192,servICIOS,5,-5000.0,6823.27,36,18.6,735,No,Aprobado,2023-04-07
10030,5956,comercio,19,8000000.0,29682.25,12,9.8,346,si,Aprobado,2023-01-18
10031,5277,servICIOS,14,-2000.0,77227.53,12,12.1,665,No,rechazado,2023-11-23
10032,5161,Tecnologia,4,82441.4,18025.42,24,8.4,368,No,Aprobado,2023-04-07
10033,5460,Manufactura,13,383966.33,55854.46,36,14.6,598,Sí,Pendiente,2023-01-01
10034,5314,Manufactura,10,31801.72,25444.18,24,19.7,595,No,Aprobado,2023-08-04
10035,5022,Agricultura,18,30619.3,6151.47,36,14.1,502,No,rechazado,2023-05-12
10036,5253,Manufactura,8,175332.91,27914.14,12,1.0,360,No,Aprobado,2023-09-17
10037,5748,Agricultura,8,254548.73,97708.01,6,1.0,613,No,rechazado,2023-05-05
10038,5857,comercio,7,389795.56,81146.03,6,0.0,460,No,Aprobado,2023-03-23
10039,5561,Tecnologia,8,347981.78,96159.78,6,2.0,630,No,Aprobado,2023-10-10
10040,5475,Agricultura,14,234033.3,51346.13,6,1.0,827,si,rechazado,2023-06-20
10041,5059,comercio,19,151340.8,15424.94,6,0.0,637,Sí,Aprobado,2023-02-28
10042,5511,Manufactura,6,498619.76,57056.15,24,45.0,603,No,Aprobado,2023-02-01
10043,5682,Manufactura,1,224567.03,48165.85,36,50.0,802,Sí,Aprobado,2023-06-10
10044,5476,comercio,15,236665.77,85213.92,12,0.0,637,No,Aprobado,2023-10-11
10045,5700,Manufactura,1,98539.43,14317.85,24,50.0,849,No,Aprobado,2023-04-16
10046,5976,comercio,17,401508.58,51382.91,36,1.0,574,Sí,Aprobado,2023-04-15
10047,5783,Agricultura,1,352967.47,19254.62,6,15.7,463,No,Aprobado,2023-08-16
10048,5190,Agricultura,15,125969.41,35844.21,36,17.3,742,Sí,rechazado,2023-07-07
10049,5958,comercio,2,59542.9,75048.92,36,17.1,618,No,Aprobado,2023-03-11
10050,5687,Agricultura,14,346639.66,50221.72,6,13.3,803,Sí,rechazado,2023-11-14
10051,5958,manufactura,8,334165.38,40709.39,6,12.8,686,No,Pendiente,2023-10-17
10052,5563,manufactura,8,151164.57,42475.25,6,7.1,793,Sí,Aprobado,2023-03-28
10053,5003,manufactura,19,476414.51,48647.44,12,16.6,789,No,Aprobado,2023-12-28
10054,5567,manufactura,7,92507.79,79576.57,6,9.1,372,Sí,Aprobado,2023-02-25
10055,5244,manufactura,19,227520.7,89748.05,12,12.5,808,No,Aprobado,2023-04-23
10056,5832,manufactura,6,472935.64,95756.8,6,9.3,689,si,Pendiente,2023-01-13
10057,5505,Agricultura,6,221469.11,79755.82,12,7.0,594,NO,Aprobado,2023-01-18
10058,5131,comercio,3,326492.45,34963.66,36,14.4,668,No,Aprobado,2023-07-01
10059,5485,Agricultura,7,210845.31,70372.8,24,5.8,848,No,Aprobado,2023-04-23
10060,5002,Tecnologia,19,151623.3,46572.3,36,16.2,486,Sí,Aprobado,2023-08-17
10061,5647,TECNOLOGÍA,8,492309.27,29193.71,36,9.8,744,Sí,Aprobado,2023-06-20
10062,5021,TECNOLOGÍA,10,216480.32,84882.8,6,5.0,662,Sí,Aprobado,2023-10-22
10063,5841,TECNOLOGÍA,15,449167.62,8650.5,12,12.7,422,No,Pendiente,2023-07-08
10064,5167,TECNOLOGÍA,15,130378.21,90667.39,24,5.7,487,si,Aprobado,2023-03-20
10065,5274,TECNOLOGÍA,1,122290.26,48840.36,6,9.1,719,Sí,Aprobado,2023-05-26
10066,5388,TECNOLOGÍA,7,34944.36,65534.14,6,15.6,551,si,rechazado,2023-07-01
10067,5601,Manufactura,4,332800.08,67638.62,6,5.9,848,No,Aprobado,2023-10-13
10068,5316,Agricultura,6,196892.64,90036.19,36,17.6,634,No,Pendiente,2023-09-07
10069,5014,Tecnologia,1,434891.96,65483.62,12,5.1,391,Sí,Pendiente,2023-12-20
10070,5242,comercio,5,247140.76,63323.69,12,8.7,829,Sí,rechazado,2023-11-10
10071,5777,Agricultura,1,484732.85,11331.94,24,16.1,362,No,APROBADO,2023-07-15
10072,5346,Manufactura,4,109052.25,54248.76,12,9.7,811,No,APROBADO,2023-11-19
10073,5565,Manufactura,2,436939.12,19266.06,12,6.5,438,Sí,APROBADO,2023-03-12
10074,5898,Agricultura,10,392766.49,75056.21,6,10.4,484,No,APROBADO,2023-09-05
10075,5340,Tecnologia,5,390042.49,53661.08,6,9.1,504,No,APROBADO,2023-05-26
10076,5092,Manufactura,10,425495.95,69621.64,36,17.6,513,No,APROBADO,2023-04-16
10077,5367,Tecnologia,1,385291.52,8958.93,6,9.7,555,si,Pendiente,2023-09-20
10078,5956,Manufactura,6,320585.75,13055.24,6,16.8,434,Sí,rechazado,2023-10-23
10079,5455,Manufactura,13,82997.54,73050.72,6,18.4,387,Sí,Aprobado,2023-03-11
10080,5428,servICIOS,15,35612.57,11848.01,6,11.5,506,No,Pendiente,2023-07-12
10081,5509,Manufactura,4,462006.97,11769.39,36,18.6,428,Sí,pendiente,2023-03-09
10082,5776,comercio,13,315992.15,6150.31,6,10.7,302,Sí,pendiente,2023-11-01
10083,5943,Agricultura,15,402337.9,95867.63,24,19.5,420,Sí,pendiente,2023-02-21
10084,5035,Agricultura,8,251130.73,75063.29,24,6.3,684,Sí,pendiente,2023-12-29
10085,5206,Tecnologia,5,76307.93,38558.88,24,15.3,337,Sí,pendiente,2023-10-12
10086,5081,Manufactura,15,80089.18,33170.88,24,12.4,640,Sí,pendiente,2023-11-30
10087,5932,comercio,4,349071.34,38221.81,6,10.8,320,Sí,rechazado,2023-01-09
10088,5562,Tecnologia,12,226546.83,78592.09,24,14.5,541,Sí,Aprobado,2023-09-08
10089,5872,servICIOS,13,116251.87,67830.21,6,15.6,754,No,Aprobado,2023-11-28
10090,5388,Tecnologia,2,255965.38,22593.58,36,5.1,602,No,Aprobado,2023-10-25
10091,5001,Tecnologia,19,50820.29,21540.39,24,7.5,368,No,rechazado,2023-07-03
10092,5390,Manufactura,19,299346.27,14347.59,12,15.7,428,Sí,Aprobado,2023-06-28
10093,5566,servICIOS,4,149116.83,67728.76,24,15.0,495,Sí,Aprobado,2023-07-17
10094,5106,Tecnologia,4,402828.37,77615.4,24,19.5,439,No,Aprobado,2023-05-08
10095,5772,comercio,11,168973.74,30179.41,6,16.4,743,No,Aprobado,2023-01-20
10096,5822,comercio,5,238505.67,6989.77,24,19.3,582,No,Aprobado,2023-11-24
10097,5477,Agricultura,11,25577.86,12806.31,12,15.5,611,Sí,Aprobado,2023-03-06
10098,5703,servICIOS,10,54774.51,96946.7,6,9.5,834,si,Aprobado,2023-07-01
10099,5402,servICIOS,8,208396.91,33067.25,6,6.6,576,Sí,Pendiente,2023-08-29
10100,5730,Agricultura,6,250370.64,78076.2,36,16.7,360,Sí,rechazado,2023-01-24
10101,5556,Tecnologia,6,308009.86,64343.04,36,14.7,618,No,Aprobado,2023-03-24
10102,5162,servICIOS,8,159998.04,41284.27,24,5.7,351,No,Pendiente,2023-11-15
10103,5202,comercio,15,353591.31,24540.29,36,10.4,452,Sí,Aprobado,2023-07-04
10104,5958,comercio,14,432858.75,16531.71,36,19.4,610,Sí,Aprobado,2023-11-12
10105,5996,Manufactura,11,394328.47,63426.23,36,12.5,843,No,Aprobado,2023-04-09
10106,5270,servICIOS,12,39017.04,78590.21,6,11.5,688,Sí,Aprobado,2023-03-03
10107,5863,Tecnologia,13,250643.33,66170.9,6,11.9,847,Sí,Aprobado,2023-10-13
10108,5816,Agricultura,8,70366.49,55378.7,6,8.1,476,Sí,Aprobado,2023-01-22
10109,5271,Agricultura,18,136181.61,8985.37,36,10.5,661,No,Aprobado,2023-07-31
10110,5456,Tecnologia,1,493598.04,97006.43,6,10.5,613,Sí,rechazado,2023-05-06
10111,5003,Manufactura,15,88397.86,80877.85,36,5.8,396,NO,Aprobado,2023-02-11
10112,5727,Agricultura,8,259466.31,32818.09,6,16.5,512,No,Aprobado,2023-04-08
10113,5252,servICIOS,11,316714.75,98097.18,6,11.2,436,NO,Aprobado,2023-01-31
10114,5702,Manufactura,12,357183.19,62178.75,12,17.3,305,si,Aprobado,2023-06-07
10115,5296,servICIOS,12,288631.37,60330.15,24,17.8,408,Sí,Aprobado,2023-04-22
