Año,Índice general (nacional),Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Vestido y calzado,Alquiler de vivienda,Servicios de vivienda excepto teléfono,Equipamiento del hogar,Salud,Transporte,Comunicaciones,Esparcimiento y cultura,Servicios de educación,Restaurantes y hoteles,Bienes y servicios diversos
2012,21.1,24.8,29.3,12.6,9.9,9,12.9,21.5,24,5,18.1,23.6,26.3,15.2
2013,40.7,54.1,48.3,35.7,12.1,10.4,27.7,24.7,39.4,6.6,36.5,23.9,48.8,22
2014,62.2,86.7,81.6,47.3,16.4,39.8,34.1,34.9,52.5,14.5,52.5,38,76.6,35.6
2015,121.7,218.7,196.6,88.4,22.1,37.3,66.6,69.7,87.5,34.2,75.8,88.3,186.6,69.6
2016,255,388.8,470.1,136.8,51.4,161.6,171.5,166.5,214.2,58.8,194.9,225.2,239.2,213.7
2017,438.1,540.7,631.2,312.3,106,210.9,418.9,353.9,348.7,250.8,377.3,446.5,383.6,457.6
2018,65374,75468.8,87710.6,38440.6,122963.5,45999.3,27220.2,68613.3,56118.7,16916.2,39816.7,40745.8,65235.1,91384
2019,19906,17710.8,16600.1,21788.5,17687.6,89931.1,22027.4,35020.4,26659.2,23023.9,26342.4,27720.3,20271.3,22631.4
2020,2355.1,2220,2109.6,2568.4,1945.7,1079.8,2798.7,3231.9,2703.3,2849.1,2522.8,1234.6,2370.8,2765
2021,1588.5,1346.9,1214.4,2157.3,913.2,3266.5,2574.2,2184,2009.5,2299.2,1730,1312.8,1545.8,1484.9
2022,186.7,180.5,118.9,158.1,130.5,142.4,206,166,210.5,508.5,244.9,654.2,175.3,180.3
2023,337.225516894071,345.307125443819,288.483506066586,330.462587769346,185.624041590285,270.678278276621,225.471408939363,378.276262409391,288.298055059226,505.465300378124,361.755834926858,604.232561966343,362.019504008653,334.008685024291
