time,temperature_2m (°C)
2026-01-01,20.95
2026-01-02,20.575
2026-01-03,20.1625
2026-01-04,20.2
2026-01-05,19.5125
2026-01-06,19.225
2026-01-07,18.662499999999998
2026-01-08,18.95
2026-01-09,19.3
2026-01-10,19.075
2026-01-11,18.2375
2026-01-12,18.25
2026-01-13,18.8375
2026-01-14,19.275000000000002
2026-01-15,20.7
2026-01-16,19.8875
2026-01-17,20.0375
2026-01-18,20.0625
2026-01-19,20.25
2026-01-20,19.7875
2026-01-21,19.8625
2026-01-22,19.1375
2026-01-23,19.0
2026-01-24,18.95
2026-01-25,19.1125
2026-01-26,19.45
2026-01-27,18.45
2026-01-28,18.475
2026-01-29,19.2625
2026-01-30,19.7875
2026-01-31,20.075
